"","home_team_id","away_team_id","home_team_score","away_team_score","round","home_team_name","away_team_name","home_team_points","away_team_points"
"176",12,1,4,0,11,"internacional","flamengo",3,0
"177",20,11,0,1,11,"figueirense","grêmio",0,3
"178",15,16,0,0,11,"goiás","sport",1,1
"179",1,2,1,0,12,"flamengo","botafogo",3,0
"180",16,9,2,1,12,"sport","atlético-mg",3,0
"181",3,6,2,0,12,"corinthians","palmeiras",3,0
"182",8,19,3,0,12,"santos","chapecoense",3,0
"183",13,5,3,1,22,"vitória","fluminense",3,0
"184",17,5,0,3,12,"atlético-pr","fluminense",0,3
"185",10,20,5,0,12,"cruzeiro","figueirense",3,0
"186",4,12,0,1,12,"bahia","internacional",0,3
"187",11,18,2,3,12,"grêmio","coritiba",0,3
"188",14,13,1,3,12,"criciúma","vitória",0,3
"189",15,7,2,1,12,"goiás","são paulo",3,0
"190",2,10,1,1,13,"botafogo","cruzeiro",1,1
"191",2,6,0,1,27,"botafogo","palmeiras",0,3
"192",5,15,2,0,13,"fluminense","goiás",3,0
"193",7,14,1,1,13,"são paulo","criciúma",1,1
"194",5,9,0,0,27,"fluminense","atlético-mg",1,1
"195",7,17,1,0,27,"são paulo","atlético-pr",3,0
"196",6,4,1,1,13,"palmeiras","bahia",1,1
"197",18,3,0,0,13,"coritiba","corinthians",1,1
"198",9,17,3,1,13,"atlético-mg","atlético-pr",3,0
"199",8,4,1,0,27,"santos","bahia",3,0
"200",13,11,2,1,13,"vitória","grêmio",3,0
"201",12,8,1,0,13,"internacional","santos",3,0
"202",18,14,1,0,27,"coritiba","criciúma",3,0
"203",20,16,3,0,13,"figueirense","sport",3,0
"204",19,1,1,0,13,"chapecoense","flamengo",3,0
"205",10,3,0,1,27,"cruzeiro","corinthians",0,3
"206",13,15,2,2,27,"vitória","goiás",1,1
"207",11,16,2,0,27,"grêmio","sport",3,0
"208",1,16,1,0,14,"flamengo","sport",3,0
"209",5,18,1,1,14,"fluminense","coritiba",1,1
"210",20,1,1,2,27,"figueirense","flamengo",0,3
"211",7,13,3,1,14,"são paulo","vitória",3,0
"212",8,3,0,1,14,"santos","corinthians",0,3
"213",19,12,5,0,27,"chapecoense","internacional",3,0
"214",17,2,2,0,14,"atlético-pr","botafogo",3,0
"215",9,6,2,1,14,"atlético-mg","palmeiras",3,0
"216",4,15,1,0,14,"bahia","goiás",3,0
"217",12,11,2,0,14,"internacional","grêmio",3,0
"218",14,10,0,0,14,"criciúma","cruzeiro",1,1
"219",19,20,0,1,14,"chapecoense","figueirense",0,3
"220",1,10,3,0,28,"flamengo","cruzeiro",3,0
"221",16,13,1,2,28,"sport","vitória",0,3
"222",2,5,2,0,15,"botafogo","fluminense",3,0
"223",3,2,1,1,9,"corinthians","botafogo",1,1
"224",16,17,1,1,15,"sport","atlético-pr",1,1
"225",3,4,1,1,15,"corinthians","bahia",1,1
"226",6,7,1,2,15,"palmeiras","são paulo",0,3
"227",6,11,2,1,28,"palmeiras","grêmio",3,0
"228",18,1,0,1,15,"coritiba","flamengo",0,3
"229",17,20,3,0,28,"atlético-pr","figueirense",3,0
"230",10,8,3,0,15,"cruzeiro","santos",3,0
"231",13,19,0,0,15,"vitória","chapecoense",1,1
"232",9,7,1,0,28,"atlético-mg","são paulo",3,0
"233",11,14,2,0,15,"grêmio","criciúma",3,0
"234",20,9,2,2,15,"figueirense","atlético-mg",1,1
"235",4,19,0,1,28,"bahia","chapecoense",0,3
"236",15,12,0,1,15,"goiás","internacional",0,3
"237",12,5,2,1,28,"internacional","fluminense",3,0
"238",14,8,3,0,28,"criciúma","santos",3,0
"239",15,18,3,0,28,"goiás","coritiba",3,0
"240",1,9,2,1,16,"flamengo","atlético-mg",3,0
"241",16,6,2,1,16,"sport","palmeiras",3,0
"242",3,15,5,2,16,"corinthians","goiás",3,0
